REF_AREA,year,agrifood_share_pct,black_carbon,carbon_monoxide,mercury,ammonia,nm_volatile_organics,nitrogen_oxides,organic_carbon,fine_particles_pm10,fine_particles_pm2.5,sulfur_dioxide
ABW,1990,100.0,0.018925706660049,3.2788925667844,6.5538065108033e-07,0.068920009420508,0.66500725068388,1.1648705998537,0.014077139645303,0.096369627815672,0.067172496029611,1.9571569443801
AFG,1990,100.0,0.79048739007605,98.680483336318,0.0001085468071537,46.327875323699,39.334253653562,18.480202304144,3.402609089665,8.9637952976052,6.7362657538899,16.792074756255
AGO,1990,100.0,9.7665366564126,1106.5904949394,0.0003799205074516,54.999425182886,221.33545460065,36.81437116993,29.854761488019,151.87880992506,61.159912339106,19.027567045578
AIA,1990,100.0,0.0008371669445319,0.26088670321986,1.5935041207005e-08,0.0001759744052566,0.053826109019335,0.065372150008953,0.0006022601894569,0.0024213068545167,0.0019914529789717,0.015796581132458
ALB,1990,100.0,1.7357742084353,134.38156926175,0.0002438882056315,38.452623825473,40.356900448568,25.885336502256,6.3316513737953,17.736135398584,15.738218223392,28.732604486084
ANT,1990,100.0,0.41645830478314,22.024292287244,7.861380903168e-06,0.19147876719117,10.592565364004,19.541746090868,0.24797364013604,1.1071130913064,0.97662977717718,26.769686416036
ARE,1990,100.0,6.7527429350122,234.58436364351,0.0004013966570101,4.5823736088753,258.43946484278,199.19357762992,4.2072123387079,18.813108554058,16.363928615839,84.98818235221
ARG,1990,100.0,20.471240177608,2392.8180548115,0.0035174960680375,393.7423752314,489.10658284665,541.5370056476,46.562605283067,156.53838061912,119.41240122514,259.5899891042
ATG,1990,100.0,0.012247908794041,2.8253890267272,5.2464114436451e-07,0.22055826382823,0.60946047414916,1.2892945440142,0.0074798395247682,0.053861632143209,0.040835570747711,1.6027354725152
AUS,1990,100.0,26.441287327222,3412.08108546,0.016418195499745,478.56870675384,907.22981960333,1435.7633173768,59.871113843673,214.51481148694,164.35078010467,896.17598485948
AUT,1990,100.0,4.6100352501754,1543.7370199494,0.0012881026655031,116.14260183112,252.55736218216,223.58690853881,9.5264870747245,41.318953223298,31.879293930281,112.83961905646
BDI,1990,100.0,4.3304659158757,484.84356105563,7.5871227555711e-05,17.355631184277,88.848437159954,7.5048659735903,16.757554222213,69.409609547115,31.851119956249,3.8492103992261
BEN,1990,100.0,3.0221237530758,352.67039279879,9.3886865977986e-05,21.672674841117,70.094383229732,6.9406379747046,11.117978184169,53.348724249627,23.63764095286,2.5492624773998
BFA,1990,100.0,7.123433904572,799.21358599433,0.0092843929370026,53.801868790987,147.45209005928,15.888695256284,27.572861199052,112.95801064621,52.603057511315,6.397969019574
BGD,1990,100.0,22.758862723367,2126.9916505928,0.0004646115062292,338.2470216243,622.79368097149,118.38329073388,91.689904690963,300.37940794054,182.86284897129,52.874647407861
BGR,1990,100.0,3.95649319896,934.54001361763,0.0025106349446431,168.49668048502,380.16366846521,259.52002713744,10.217017065636,49.115528828171,38.177912201501,450.35072374952
BHR,1990,100.0,0.2278720286133,70.525705589877,0.0001191940296548,1.0362261521569,33.152687375454,20.033547247141,0.17177799683188,1.7155314406235,1.3367024422521,2.748530219219
BHS,1990,100.0,0.13760984090841,22.120715422869,1.814501211471e-05,0.69838317879184,4.2338444775394,8.2124090314977,0.17390287513213,1.0407715785026,0.68363672540092,10.038302260031
BLZ,1990,100.0,0.38382649080493,27.59587921386,1.9868088559429e-05,1.4753021137028,4.7886172060525,3.1485072614945,0.82625350607047,3.108260738493,2.2740441409603,1.5545917221037
BOL,1990,100.0,2.9239732986167,287.92267109189,0.036898475360744,48.201774051795,70.25771449554,45.596972204235,8.0212433420663,30.459330525808,18.477745314432,12.156097638315
BRA,1990,100.0,184.68721489632,14359.93502408,0.056921235613599,1823.8156360416,2735.0823123264,1715.3476084496,325.74211571339,1729.8569372449,976.75135098955,1043.7313630087
BRB,1990,100.0,0.23355259898948,14.876021288278,2.2600153831468e-05,1.3429248371303,3.6519528287013,5.2351969987711,0.27616389078428,1.4234019500384,1.0911865744402,4.7858965599326
BRN,1990,100.0,0.11309924358684,37.057068227597,2.7948293752133e-05,0.69529395306149,24.342663578089,8.3211602978839,0.10437256408702,0.64945662943027,0.41905478201215,1.8759335834294
BTN,1990,100.0,0.86525259810189,100.55942333545,2.4047696736468e-05,4.4226272997683,21.856982049891,1.9747758745463,3.4291250895886,12.851867086613,6.5782187423442,1.7169660022384
BWA,1990,100.0,1.2363757062146,135.20390386064,0.0001439239445497,22.107480683567,28.376698700486,19.206958634327,4.5316172921384,17.074326061516,9.211667946827,22.939188334584
CAF,1990,100.0,2.142440237763,240.02864213234,0.0029353902317995,22.307195075625,46.736359570814,5.5680041213635,8.6305285145427,35.430480200973,16.224608068472,2.3651722289555
CAN,1990,100.0,40.509752840937,3994.306271379,0.015272864710918,444.74709205009,1399.2870817884,2165.600850354,56.293447932516,346.82204899997,235.57352122236,1510.19274911
CHE,1990,100.0,2.714478831198,1820.128112796,0.0008690139456655,75.70351435691,297.55368647843,182.45760854724,6.0261449896737,31.087032032162,20.37111801612,86.161501121242
CHL,1990,100.0,11.242789161869,937.45519999985,0.002906802191686,106.46955584919,212.25883813946,200.61628067877,24.584627575625,148.51399339407,86.236189588379,527.80448284884
